2020/11/22 13:26:55 [warn] 29#29: *20 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 192.168.0.1, server: , request: "POST /_ignition/share-report HTTP/1.1", host: "localhost", referrer: "http://localhost/api/user"
2020/11/26 02:49:42 [warn] 29#29: *11 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.23.0.1, server: , request: "GET /test HTTP/1.1", upstream: "fastcgi://172.23.0.3:9000", host: "localhost"
2020/11/26 02:57:43 [warn] 28#28: *2 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.23.0.1, server: , request: "GET /test HTTP/1.1", upstream: "fastcgi://172.23.0.2:9000", host: "localhost"
2020/11/26 02:57:44 [warn] 28#28: *2 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.23.0.1, server: , request: "GET /test HTTP/1.1", upstream: "fastcgi://172.23.0.2:9000", host: "localhost"
2020/11/28 14:35:43 [error] 28#28: *1 connect() failed (113: Host is unreachable) while connecting to upstream, client: 172.23.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://172.23.0.3:9000", host: "localhost"
2020/11/29 15:51:26 [warn] 28#28: *24 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 192.168.144.1, server: , request: "GET /test HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "localhost"
2020/11/29 15:54:25 [warn] 28#28: *27 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 192.168.144.1, server: , request: "GET /test HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "localhost"
2020/11/30 03:14:36 [warn] 28#28: *9 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.23.0.1, server: , request: "GET /animal HTTP/1.1", upstream: "fastcgi://172.23.0.2:9000", host: "localhost"
2020/12/03 12:30:35 [warn] 28#28: *7 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.23.0.1, server: , request: "GET /test HTTP/1.1", upstream: "fastcgi://172.23.0.3:9000", host: "localhost:8080"
2020/12/03 14:34:25 [warn] 28#28: *19 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.25.0.1, server: , request: "GET /test HTTP/1.1", upstream: "fastcgi://172.25.0.3:9000", host: "localhost:8080"
2020/12/05 14:41:13 [warn] 28#28: *1 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.25.0.1, server: , request: "GET /api/analyze HTTP/1.1", upstream: "fastcgi://172.25.0.3:9000", host: "localhost:8080"
2020/12/08 07:51:17 [warn] 28#28: *13 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.25.0.1, server: , request: "GET /api/analyze?year=1986&month=01&day=15 HTTP/1.1", upstream: "fastcgi://172.25.0.4:9000", host: "localhost"
2020/12/08 08:05:02 [warn] 28#28: *24 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.25.0.1, server: , request: "GET /test HTTP/1.1", upstream: "fastcgi://172.25.0.4:9000", host: "localhost"
2020/12/08 08:08:04 [warn] 28#28: *29 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/00/0000000003 while reading upstream, client: 172.25.0.1, server: , request: "GET /test HTTP/1.1", upstream: "fastcgi://172.25.0.4:9000", host: "localhost"
2020/12/08 08:08:56 [warn] 28#28: *29 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/00/0000000004 while reading upstream, client: 172.25.0.1, server: , request: "GET /test HTTP/1.1", upstream: "fastcgi://172.25.0.4:9000", host: "localhost"
2020/12/08 08:09:31 [warn] 28#28: *29 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/00/0000000005 while reading upstream, client: 172.25.0.1, server: , request: "GET /test HTTP/1.1", upstream: "fastcgi://172.25.0.4:9000", host: "localhost"
